asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B00HTM7UDM,"[0, 0]",5,"I received and ARC in exchange for an honest review!!!In It's Not Over we follow Rick from The Do OVer, as he continues in his flight to get back together with Daniela with the help from Madison's tutoring.  There is a fine line between Love and Hate and let me tell you that between Madison and Rick that line truly revolves around them, never have I read two characters who not only want to kill the hell out of each but also want to protect them, cherish them and finally love them.  But the beauty of it all they make it look freaking amazing the back and forth and let me tell you that with all name calling, pissing contest on who is in control of the other that this sort of foreplay is scortching.In other words Rick has finally seen the light that as much as he cared for Daniela he realized that he is not the kind of man for her and she is not the type of woman that he needs and wants.  After all his schooling with Madison the realization hit him harder than he knew, that he needed someone to wants and accepts him as he is truly is with no what if's,and's or but's about it, and all this time she was there standing beside him helping him get the girl of his suppose dreams.  I can honestly tell you that Rick has done a whole 360 here, yes he is still the arrogant man we met in The Do Over however, he steps up to the plate big time.  And he is relentless in his pursuit of everything and anything having to do with Madison Stuart.Madison is troubled by her past as strong willed as she is, she still is a broken inside from a long ago love, her parents distaste for her, and dealing with the b.s. of her brother and his side kick.  Her past is as tarinshed as an old penny but the amazing part of it all is that Rick doesn't care one bit (again he has truly come around).And just in the nick of time cause Madison will have her wilk tested and she will need strong hands to help catch her.The chemistry, loathing and mutal love and  respect that both characters have for each may not be for everyone but for them it works. The madness of loving someone is worth it.","01 30, 2014",A1EOFNV23D0GV2,janette ramos,MIAMI HAS GOTTEN HOTTER SINCE RIC GOT HIS GROVE BACK!!!!!!!!!!!!!!!!!,1391040000
B00KOBJY0M,"[0, 0]",5,I loved this book. It was a clear guide to the secrets to finding real love with useful techniques that you can use for more than just attracting someone into your life but living your life's purpose.,"06 10, 2014",A8HID0WMOH1NQ,Benjamin,Healthy Relationships!,1402358400
B00DY8HAOE,"[0, 0]",4,"At the end of the last story, Andrew orchestrated a ""chance"" meeting with Grace back in London. His specific intent was to shake her confidence in David by confirming her fears. While he achieves one of his goals, it backfires somewhat as she doesn't appreciate his disloyalty to David and loses some trust in him.Grace is actually becoming more confident in herself and is coming closer to really seeing David as he really is, flaws and strengths. Her feelings for him remain strong but she's beginning to see herself as more of an equal. I'm liking her better but really wish she'd spend some time evaluating just what she thinks she might win if she gets David. I'm also completely divorced from Team Andrew.The pace of this story was much better and I believe the additional chapter gave breadth to the characters. I learned much, much more about David, Andrew and Amber.(I received an ARC from NetGalley)","01 11, 2014",A1BN1TXNHF6RXX,Jonetta (Ejaygirl),A bit more breadth,1389398400
B004DI7KF8,"[0, 0]",5,Kwan your work is flat out great. I have been a fan for two years. From Harlem with love was just another fabulous addition and experience. Thank you for such great reads. The first book road dawgs got my attention then gutter wow! I thought it would taper off but NOT! Hood Rat series.... Well let's just say a fan for life. Keep inking... Plz we want more,"03 10, 2013",A3HA21MYH5EPQP,Ora Williams,fabulous..,1362873600
B007HD4YYG,"[0, 0]",5,I really enjoyed this book and look forward to reading more by this author. I recommend this book to adults.,"05 20, 2013",A8XBVAXZ4ZLKJ,Ann,I'm starved for you,1369008000
B00FQZ8EWK,"[0, 0]",5,"Well I just finished""The Killing "",,My first Jess Williams story ,,I really enjoyed this Author and his characters I was blown away by the violence and gritty scenes in this book,,Totally enjoyable and I plan to follow more adventures and go back and get to know Mr Williams,,The Bounty Hunter.....","03 19, 2014",A3MXU6BDGFW8J4,Kenneth j Fredine,Westerns,1395187200
B002SVQD0A,"[14, 14]",5,"I loved this story.  Couldn't put it down.  ER doc's ex wife comes in nearly dead after a car accident  It has been 10 years but he is still not over her.  They have a lot to work thru.  It is a great story, no bad guys, no mean people well except for her father.  But they get beyond that. HEA.  LOVED the book and highly recommend.  Give yourself some time because you will not be able to find a place to stop to put this book down.  Loved it.","08 18, 2012",A2UNMDJYXPEQZ3,Gatorfan,Really good story,1345248000
B00A53FXMC,"[2, 2]",5,A conversation of personal insights that beome tidbits of inspiration and advice.Easy to read and 'visually' flowing. I love the way the author's experiences gave the perfect picture to what she was trying to get across to the reader.,"07 22, 2013",AG4A271VITFQX,"Ey Wade ""Imtheauthor""",A Timely Chat,1374451200
B005G7ZFXY,"[0, 0]",5,Warning you are going to love this series so just go ahead and get the bundle (Blood an Absinthe) that way you can enjoy all three books at once! great writing you feel as though you are there and the Vamps are real.,"07 10, 2012",A3FOL8CN5A1TFR,Taina Boricua,Taming The Vampire,1341878400
B005DLQ3HA,"[1, 3]",2,"I'm an avid reader and I like Roy Glenn. I read one of his books before and it was cool. Since then I made a mental note that he was ""book worthy"". But it's something about this book that gave me Deja Vu. I've read this story before. There's a book with a character named ""Love"" who worked at a tattoo parlor and was in a relationship with a girl who was lost out in the streets. There's another book out there with a girl who had a mama and daddy that hustled hard, then he was murdered by the side-chick and her mother was left to make it on her own, ran a check scheme and went to the Feds. There's another book out that follows the same punch line where this chick meets a stripper that she once knew, she then became a stripper, then a madame. Her downfall was when this undercover cop was trying to be in their circle. I'm not feeling this book because it's definitely something that i've read before. Just a bunch of hood novels that are combined into one. I'm angry that plagiarism is involved. I don't know who the guilty party is, but I won't be purchasing this book, and I definitely won't recommend it to friends and family. Sorry!!","09 1, 2011",A5U72TT8FKV89,Amazon Customer,Something I have read before!!!!,1314835200
B00KSRTO9I,"[0, 0]",5,I love herbal medicine as it is the best cure and without complications. This book has much information regarding natural remedies. My mother bought this book and I am glad that I had a piece of it.You should surely read this book. You don't have to spend much money and yet there is a better cure for you. I recommend this book.,"06 10, 2014",A3CKL0EKDXRIJU,Bruce,Great book,1402358400
B00EAAPFWO,"[1, 1]",5,"I smiled and cried while reading this book. The hot scenes were hotter than hot. Make you wish that you had this guy as your neighbor. The best was how great the girls for along. Wish I would have had this and the guy of course. Great book, can't wait to read more from this author.","01 18, 2014",A96A6EE257E0J,K77F33@GMAIL,That great feeling of perfection,1390003200
B004FEFBC4,"[1, 1]",5,"...rest from their enemies... sorrow to joy... mourning to a holiday... Esther 9:22Intensive Faith Therapy by Vanessa Collins is an inspiring book to read. As I read through each verse, I discovered how meditation on God's Word causes His grace to be multiplied toward me. The Bible Scripture and the author's insights flow nicely together. God's words are truly powerful enough to turn every situation around. Remain at rest in Christ's finished work, and He will turn your evil day into days of rejoicing and feasting!","09 19, 2012",A2P2NCBIVWMR14,Amazon Customer,Trust God In Every Situation!,1348012800
B00AFMVAKM,"[0, 0]",5,"I just love the series of books by Wyatt North.  Even as a life-long Catholic I knew little about St. Jude, and was ao glad to get to know him through this book.  He was a man full of miracles. He has become one of my favorite Saints.  I have been praying to him and he has been listening.  This book had a bio and prayers, A short book, but one worth purchasing.  I recommend all of Wyatt North's books in the series.","03 10, 2013",A2B04RIO3JDFWA,Linda,"Great Saint, great author",1362873600
B00BBX9B3C,"[0, 2]",3,"The story was good, supper hot sex.  but the formatting errors or weird formatting was annoying. (maybe a boxed set issue???)","01 7, 2014",AE2WR0SDYC9Z9,Jtsing,Typos and formatting errors drove me crazy,1389052800
B00HGLBQ0Y,"[1, 1]",5,"THIS BOOK WAS AMAZING, THE STORY LINE WAS SO GREAT THAT I COULD NOT PUT IT DOWN.THE AUTHOR HAS A FABOULOUS IMAGINATION.","04 23, 2014",A396UOEM7XPB5,DONNA,SIN AND SAVAGE,1398211200
B00CMHM8L8,"[1, 1]",5,i read thios book in one afternoon. love bonnie lamer cant wait for more ihope this series never ends!!!!! VERY GOOD,"06 12, 2013",A64WAPNOFM8SC,A reader,yummy,1370995200
B007VZ0F0M,"[1, 1]",5,"After reading this I wanted to get my kitchen ready and try all the recipes. I like the positive spin the author puts on each recipe, they all sound great! Can't wait to make some Coffee Cake!!!","07 6, 2012",AGZK2IIK9D9Y5,"Shelly ""Shelly""",Coffee Cake,1341532800
B00EB3F0A2,"[1, 1]",4,"I am not sure where I want to start in this review. I have very mix feelings about this book but I can't ignore the fact that I was pulled into the story within the first 2 chapters.  I guess I will try to do this without giving to many spoilers as it is a shorter book.Evie, I loved Evie. She was fascinating to me. I love how she had a strong confident side throughout most of the book. We did get to see some of her insecurities but it was more because she was in love with her best friend Jay, who happened to be dating her roommate, Cynthia. We see her struggle with the decision on what to do about it.Jay's character was also well written. He is a football player up for the Heisman trophy so I expected him to get cocky and be a total player, but he was the complete opposite from what I expected, which is a nice change. Sure he had a moment or two but who doesn't, right? I hope when the next two books come out we find out more about Jay's background. I wanted to know more about him, about his background and family life. How he met Evie and so forth.Cynthia, Evie's roommate and friend. I am not sure how I felt about her.  She was written well for her part in the story line but she was so whiny and insecure. I couldn't get a feel for her because I want to know why she is the way she is. Again not trying to spoil anything but she is the way she is because something terrible happened to her, at least that is what I am led to believe but I have no idea what it was.Then enter Pipe, he was a great edition to the story. He is the gay best friend to Evie and Jay. He definitely helped the story along and he helped give insight into Evie's background with Jay but not much. It was a nice character add by the author.Now, I am not sure how I feel about the ending. I almost feel like I needed more explanation on her choice at the end. It was almost out of character for her to give in so easily when she warred with herself for days over it.  I also didn't like the wishy-washiness of Jay and deciding on his feelings.  This is also why it seemed out of sorts when Evie made her decision about things. It was like she became weaker towards the end, not the strong girl we were introduced to. It may have something to do in the future books of this series but I guess I will have to wait and see!I also want to warn readers that there is a bit of voyeurism and non-traditional relationships in this book, so if that's not your cup of tea, you might want to think about this purchase before you make it. I have an open mind and will read anything but for those uncomfortable with it, just caution yourself if you pick this up.With that said, again, I quite enjoyed the book and read it in one sitting. I wanted to see where the story was going. It was well written and the character development was great. I just wanted to see a little bit more personally, but that's me being selfish as a reader, haha!","09 1, 2013",A3J1MI7RPVX45E,Sara M.,Enjoyed the Book,1377993600
B00B0IMH20,"[6, 6]",5,"This is a delightful story for children and adults alike!  Pippy is an angel in training with a very stubborn streak.  Her adventures are hilarious, and she just can't seem to stay out of trouble!  Wonder what she is going to get into next?I am saving this heartwarming story to read to my future grandchildren.  Hope there are more to come!","01 14, 2013",AYIPGMUURK82V,Pat Fordyce,Sweet Wishes,1358121600
B00K6IBRYE,"[3, 3]",5,"Carried Forward By Hope, Book 6 of The Bregdan Chronicles series, by Ginny Dye begins with the ending of the Civil war in America and the soldiers returning home to find their families. It is the year 1865. After the war ended the beloved President Lincoln freed the slaves in the south and had great plans to move the country forward.  Unfortunately the great president was assassinated and suddenly the people acquired a new president to take his place.  It didn't take long before the people realized this president didn't have the same ideals as their past leader and the country would have a difficult time in trying to heal.Ginny Dye is a great historian and story teller.  I love her characters in this book. I feel like a part of their family and want them to thrive and achieve their goals of reconstructing their lives and help the freedmen and people of the south that were defeated after the war.  I have learned how people must have felt going through the hard times of despair and pain, mentally, as well as physically.  This is a story of people, men and women, black and white, northerners and southerners.  This was a time when freedmen wanted their rights and women wanted to vote and the haters of course making this virtually impossible.  Love, passion, romance, hate, despair, cruelty and happiness will rip through you while reading this wonderfully written book.  I suggest you get a copy of the first books in this series.  I am looking forward to book #7 (Glimmers of Change)!","06 2, 2014",A2JA4I3PD0OY14,Monica McDaniel,Passionate Story,1401667200
B00957XZFG,"[0, 0]",5,I truly enjoyed this book. It might partially be because of my familiarity with the quaint small town setting but I loved this book.  I was drawn in from the first chapter.,"10 6, 2013",A3H3UX87B0JMUD,gmrollin,loved this book,1381017600
B00GNFKEXY,"[1, 1]",5,"I was already invested in the story of Give Me Hope (The Reason Series) even before I started reading it, having already read the first book in the series, Give Me Reason, which I thoroughly enjoyed (read my review). The second book is just as intriguing as the first.Although there is not quite as much excitement in Give Me Hope as there was in its predecessor, there is still plenty of mystery.  Who are angels and who are demons?  Who are just plain folks? If you are an angel (or demon) will you recognize one of your own kind (or the opposite)?  Are Mikah and Vivienne soul mates or will fate keep them apart?There is a tiny bit of sex in this book (maybe a 2 at the most out of 5).  The hope that Mikah and Vivienne will eventually get together (and you know it will be awesome!!) is what drives the reading of this sequel.Not surprisingly, there is a third book coming in the series, which I hope will tie up all the loose ends and finally give us readers some satisfaction.I received a complimentary copy of this book for the purpose of review.  All opinions are 100% my own.","11 22, 2013",A1B7VM2YWWUD1J,Teressa Morris,Just as Intriguing as the First,1385078400
B00DU5A1A6,"[0, 0]",5,if you like medical type books and medical inspired themes this is the book for you. scary scenario but very plausible..  enjoy!,"04 25, 2014",A299VHT9XPEPF0,sharon marshall,Good book,1398384000
B005EYU6Y2,"[0, 0]",5,I Like this the best in the book set. I am never disappointed reading in reading one of her books.,"11 10, 2013",ASHRZB0ALMKKK,Shirley Bobbitt,Guise and Dolls,1384041600
B004YLO0FC,"[0, 0]",5,"Drip Drop TeardropA short novella but not short on a story.Avery has just existed since the death of her parents, raised by her Aunt Carolineshe doesn't like to be noticed.While out with her friends the hairs on the back of her neck stand up and she knows sheis being watched.  What she sees is a large man kind of creepy and has a scar on his face.He asks her to dance and the tingling sensation she feels draws them closer togetherand when the dance is over he disappears into thin air.Brennus is an Ankou; he helps the dead to find their way to their next destination.He reappears in her home and explains what he is and he has been watching her for a long timeshe escaped him long ago!OMG, what an intriguing story, one of pain, loss, death and love.I was hooked from the first chapter to the last!","02 6, 2013",A2B1MXB18XYYZ9,"lorraine M ""Rustys Reading""","intriguing story, one of pain, loss, death and love.",1360108800
B00BNZDOFE,"[1, 1]",5,"L.M. May has proven to be an accomplished author, both in developing a really good story and in character development.He is an excellent author and I thoroughly enjoyed this book (Kindle).  Therefore, I highly recommend this author and this is a great read.  Look for his other works and you won't be disappointed.","01 16, 2014",A2IV74JCKDT290,Kenneth C. Williams,Dark Days: The Long Road Home,1389830400
B00BGXP1IQ,"[1, 1]",5,Read The Mine and then this book! An excellent story! The author is fantastic and the story is one you will never forget.,"05 12, 2013",ATG3EP7LI0FDE,Matt Riggs,A must read!!!,1368316800
B00EBXFYYY,"[0, 0]",5,when i say i could not put this book down it was a good book and i'm on part to now and it's so far so good,"11 5, 2013",A3MCJ47XRK21OK,remi504,got to read,1383609600
B00ED4WKKC,"[1, 1]",4,"""We all wear masks to get by. To hide things from people who would strip us bare. We protect what's inside because it's too precious to be exposed. It's who we are. The real us.""Aubree Walker has a secret. A huge secret. It is for this reason that she's been avoiding her home town and everyone in it for nine months. Once high school was over, she all but fled town to a college in the city.But escaping your past isn't always possible...Aubree gets a phone call in the middle of the night--her aunt, her guardian, took a fall down the stairs in her home and is now in a coma. Aubree wastes no time. She hops in her car and heads home.Upon her arrival she's ambushed in the darkness and rain. She doesn't see a face, but it's obvious someone is out to get her.Enter Booker Outlaw. Bad boy. Town pariah. In love with Aubree since high school.Booker rushes in to save the day, but seeing him brings Aubree nothing but awful memories she only wants to forget.But someone won't let either of them forget what they did last summer.- - -Alright, where to begin? This is one of the best New Adult reads I've devoured in months! They all sort of seem the same to me at this point. With sooooo many of them out there competing for ratings and reviews you've got to bring something unique, something different, something new. I feel Zoe Dawson did this. Is there steamy romance? Yes. Is there angst? Yes. Is there pages and pages of sexual tension? Sure enough. But this book is more than just that. It's more than just a story of a damaged girl waiting around for a man to save her from herself or someone else.Aubree Walker is far from a damsel in distress. She was in such a position once before and refuses to let it happen again. It had dire consequences. So she throws herself into her college education. She's super smart and enjoys leading a plain, calm life at school. When she gets the call about her aunt being in a coma she is devastated. As a child Aubree watched her junkie mother die right before her eyes. With no father in the picture, Aubree's aunt steps in. She takes Aubree in as her own and couldn't have been a more amazing, loving parental figure. So it's a no-brainer for Aubree to go back home regardless of her fears. She's a strong, determined woman.Let me tell you ladies (and maybe gentlemen!) something. A Perfect Mess has triplets. TRIPLETS. Tall, dark, sexy-beyond-words, bad boy triplets! Boone, Braxton, and Booker. *fans self* The Outlaw triplets are the best part of this story. Each of them has something unique about them. Booker is a wealthy author working behind a pen name. This guy has been in love with Aubree since high school, and maybe even before that. When she shows up in town after leaving nine months ago without even a goodbye, Booker is torn between being angry and ecstatic at her return. The two of them share a secret that could be their undoing.The book is told from their duel first-person perspectives, which I absolutely LOVED.I always enjoy reading from a male POV. I think Zoe Dawson embodied the male mind quite well. Booker is all kinds of messed up because of Aubree. As he says many times, she just gets to him. Their romance is tentative at first, but as with most New Adult couples, the lust overtakes both of them. And this is when the #1 thing I loved about this book happens.Not only do they have sex, which I don't feel is a spoiler because it's completely expected from any book in this genre, but it's done through Booker's POV. This was not something I expected AT ALL, but I freaking loved it! You almost always see this from the woman's POV and it's always the same ol' spiel. I won't break it down, because we all know it. Zoe Dawson, for whatever reason, decided to do it through Booker's eyes. It was amazing! One of the best love-making scenes I've ever read. It made my face heat-up and my heart beat double-time. It was very memorable and will probably ruin every other NA book for me for life. :)Another unique thing about this book is the mystery aspect. What is the secret? We can guess, and there are hints, but the truth doesn't come out 'til later on. I think Zoe Dawson did a great job with the mystery.This is where I am going to come in with my negative points.I am going to try and tell you what I think without directly giving you a spoiler, but please be warned that what I say may make it easier to guess! SO, POSSIBLE SPOILERS AHEAD!Alright. Aubree and Booker aren't the only ones with a secret. Aubree's aunt has a secret as well, and it's huge. It was when this secret came out that I got sort of confused.This secret is so big and unbelievable that I feel anyone would question it and have doubts. Not Aubree. She accepts it without batting an eyelash. She barely even asks a question! I mean, I just don't understand. I also don't really feel like this particular element of the story had a point. It wasn't something that needed to be there. I feel like it crowded the storyline; made it sort of messy, I guess.But it really pales next to how great the rest of the book is. :) The characters are memorable and their personalities so strong.So with that being said... Overall, I loved A Perfect Mess! It surprised me and it was one of the most engrossing reads I've had the pleasure of reading this year. The romance is steamy and angsty, but it's also much deeper than just that. The characters are multidimensional and very very memorable. There is also quite the element of humor in this book! I found myself laughing out loud many times. There's also the mystery, the thrill. Dawson created a great mystery and left no loose-ends. She kept me guessing and sitting right on the edge of my seat. So you've got the mystery, the romance, the secrets... There is drama and heartache. There is anger, pain, love, acceptance.I definitely recommend this book to those who enjoy New Adult romance. It's a stand-out book for me. It's also book one in a series. That means more Outlaw brothers! SWOON! &#9829; So, go go go! Read it. Love it.","09 28, 2013",A2IHBYQAW5MAJN,Literary Meanderings,New Adult romance with a dash of mystery!,1380326400
B00J1SP9FI,"[0, 0]",5,"So I picked this book up late in the evening a few days before this tour thinking &#8220;I&#8217;ll get started and take my time.&#8221; Uh, no! Instead I stayed up until 3:30am that same night to finish it. I. Could. Not. Put. It. Down! Those Slater boys (yes ALL 5 of them) are sexy and funny and Bronagh and her sister Branna were hilarious and feisty. The story line seriously had me from page 1 and didn&#8217;t let me go.Dominic and Bronagh start off with a hate-hate kind of relationship. He torments and teases her just to have an excuse to be close to her and she fights back (verbally and physically). You can just tell it&#8217;s one of those situations where they are both fighting their attraction (definitely on Bronagh&#8217;s part). Dominic is possessive (even way before they get together), protective, can be a prick, and sexy as all get out. Bronagh has spent the last 9 years of her life shutting everyone out except for her sister. He really gets her to come out of her shell and let people in. I absolutely loved the dynamic between them as well as the relationships she develops with his brothers. All of the characters had very unique personalities and I loved getting to know them.This book flowed really well. It felt like everything naturally progressed and it wasn&#8217;t forced. I was totally absorbed by the story and the characters. Did I mention that this whole book takes place in Dublin, Ireland? Yea it was really fun to read about characters from there. I don&#8217;t get to do that too often so it was fun. The Slater brothers are from New York so there were a few instances where language differences happened to create some interesting situations. I really enjoyed this book and I can&#8217;t wait to read book 2. This is a definite 5 out of 5 stars!","05 17, 2014",A1MHUC6E9L7IEI,Megan (There's This Book),I really loved this book!,1400284800
B00BTIDW4S,"[0, 0]",5,Very good plot. Suspence and lots big heatI read it in one sitting. Cannot wait for the next one.,"05 12, 2013",A3L9TV76M7VQKY,Hortensia Franco,The Mating,1368316800
B005CCM48M,"[0, 0]",4,Good short read. If you like lots of sex this is the book for you. Can be read at lunch. Not hard to keep up with the plot and characters. But a good book.,"05 22, 2014",A2TAL9MXNOVSZ4,Rhonda,marathon reader,1400716800
B00JS6R7US,"[0, 0]",4,"A sweet, fun, and thoroughly entertaining romance, How to Lose a Duke in Ten Days was a wonderful read. I really enjoyed reading this lovely novella.Pippa was a great heroine. She was determined to to things on her own terms, refusing to bow to the demands of others. She was clever, though oddly unconcerned about her reputation, and her antics brought a lot of fun to the book. I thought she was lovely.Lucas seemed like a domineering jerk at first, to be brutally honest. But, as the book went on, we see why he acted the way he did and that there was a whole lot more to him than what he showed. Underneath all that strict control, he was very sweet, protective of his loved ones, and determined to ensure his family's fortune after his father squandered it. I really liked him. He was rather adorable.The romance was lovely. Pippa and Lucas were great together. I wasn't really feeling it, though, because Pippa spent most of her time focused on defying Lucas and Lucas spent most of his time trying to keep control. But, I thought it was sweet that, despite all that, their feelings for each other still grew. Not to mention the sizzling chemistry between them. Overall, I thought they were a wonderful couple.The plot was well paced and I was kept interested the entire way through. This book was so much fun to read, just to see the crazy things Pippa did to prove a point. I really enjoyed the story and the ending was lovely.How to Lose a Duke in Ten Days was a wonderful historical romance novella. I really enjoyed reading this sweet, fun, and utterly charming book. Romance lovers, if you want a quick, sweet read, then this is your book.*I received a complimentary copy in exchange for an honest review","04 19, 2014",AL0LTL9QRB3KY,Farrah,Sweet & Fun Romance,1397865600
B008TAW6KA,"[1, 2]",5,"This book is a must read!! I have already recommended it to other's st work. I have been following the book to the word every day and OMG!!!within days this have been happening. So far I am so grateful to have received over $1,000.00Of unexpected money.","01 13, 2014",A3MIMMLTJ5XWQ4,kbrif,OMG GREAT BOOK,1389571200
B00AQ2S0SG,"[0, 0]",5,"Wow! i was looking for a dirty quick to the sex book, however this is a great story and there is no sex (other than a mention of them having a sex filled night) but instead of being disappointed i truly enjoy the book, I will get the other two in the series","06 29, 2013",A2E49RV3LB8IA8,chanito,great little book,1372464000
B0030T1EDK,"[0, 0]",4,"Robin Hood is an offtold tale of the thief who stole from the rich to give to the poor. Here Robin is a princess of the realm who survived the assassination of her mother. She is raised by Friar Tuck in Sherwood Forrest and becomes a bandit. There is romance and adventure a plenty, and wonderful twists and turns to the plot. The characters are fun and believable. What more do you want?","05 21, 2013",A2TKC3LSDM104Q,Hugh Haynsworth,An artful  retelling of a classic legend,1369094400
B00B7SIMTA,"[0, 0]",4,This was a very good erotic read about infidelity. When a husband has an affair the only thing on his wifes mind is revenge. And boy does she get the ulimate revenge of a life time. This was a good read don't pass it up.,"02 12, 2013",A1D1GP1B7UH5NE,"Kindle Customer ""Book Lover""",Confessions,1360627200
B00AOP0BLO,"[0, 0]",5,Omg Tristen!!! Another wonderful character that I luv...This is a good read and cant wait for the sequel!! Page Turner..u wont be disappointed!!,"12 16, 2012",A39HCVW2HTA4E3,Amazon Customer,Great Read!!!,1355616000
B00CE4A8UM,"[1, 1]",4,"I am a huge fan of Evangeline Anderson's and there is not much I have read by her that I haven't thoroughly enjoyed. Having said that I must be honest and admit that the first book in this new series ""Crimson Debt"" was not among them. I am not a lover of romance stories being told in first person with only one of the main characters telling the story. I knew going in that this series of hers was written that way but I figured I would give it a shot anyway. In ""Crimson Debt"" the female lead, Addison, is the first person point of view throughout. I might have been able to handle that except I found her character very unlikable, even going so far as to say she was a heroine that was TSTL (too stupid too live) at several points throughout the book. Sorry, Evangeline but I had to agree with the few people who gave that book a lower star review. I found very little to redeem her in my eyes and because I didn't know what Corbin was thinking at any time in the novel I just never got why he even fell in love with her in the first place.Why am I even bringing up that book or did I even consider reading the sequel ""Scarlet Heat"" do you ask? Simply because I really wanted to find out what happened to Victor and Taylor and I was willing to give this series another chance. I am so glad that I did because everything I disliked about the first book Evangeline fixed in the second. Though the story is still told in first person point of view, she alternates sections between both of the main love interests. Being able to know what was going on in Victor's head as well as Taylor's was so much more enjoyable to read. Even Addison didn't seem as obnoxious in the scenes she was in.Victor and Taylor's story was told beautifully and you really felt for both characters. Even though much of the book was based on misunderstandings that could have been easily avoided if the characters just talked to each other, it really worked for this story. Some of Evangeline's best writing is done with characters that have been horribly abused, both physically and mentally and this one is no different.So if you read ""Crimson Debt' and felt like I did about it, I am hoping this review will convince you to give ""Scarlet Heat"" a try because I really don't think you would be disappointed. I am also interested in the third book in this series coming soon ""Ruby Shadows"". I am curious to see how Evangeline manages to redeem a demon like Laish. Plus I can't figure out if Shadowlock is going to be the villain or if Evangeline might be making the next book a menage. You never know with her!While the Brides of the Kindred is still my all-time favorite m/f series by her, this series has definitely piqued my interest now. Thanks for another great read Evangeline!","04 19, 2013",A3U9B6GM4HZCBQ,Lunaticlulu,Surprisingly enjoyable,1366329600
B00KOBJY0M,"[0, 0]",5,"I've read a couple of books written my Darrin, and each of them offers a unique angle that really hits home the &#34;message&#34;. In this particular book, he talks about ways you grow and maintain healthy relationships. He goes in depth at explaining the process, including teachings of &#34;law of attraction&#34; and etc. This book will open your eyes when it comes to building quality relationships with people you love. Good read and good advice!","06 13, 2014",A33SCVE8U5YGWY,Philip Zeal,Excellent Book on Maintaining Healthy Relationships!,1402617600
B007EHUDCM,"[0, 0]",5,"I love this action-packed series. Many other reviews commented on the poor grammar and typos, but I felt that the gripping story made it easier to overlook than many other books I've read. Faith in the title is twofold and I found that very interesting. I will be reading more of Eric Meyer's books!","01 19, 2014",A1YWWMGAZ5SF5D,"Debra Rose ""Happy Reader""",So Good!,1390089600
B00APSWJM4,"[0, 1]",4,Hot sex and sweet romance. I wish there was more dialogue between Adeline and Jordan instead of so much inner dialogue. That's pretty much my only dislike about this story.,"01 17, 2013",A33C0ZUVXJ5WQM,Book Loven Chick,Sexy sweet,1358380800
B00AY4OHHO,"[1, 1]",5,I didn't think I was going to like the story at first being that I had read Lipstick Clique and the Bankroll Squad series which I didn't think could be topped. But interesting enough I got into the story and I'm feeling. David Weaver has done it again and I can't wait for part 2.,"01 20, 2013",A18KRMVHS0DF1R,Sonya4real,Interestingly good!,1358640000
B00BTN2DSY,"[2, 2]",5,"The subject matter is an extremely hard one to read, and I know that this may sound weird - but this book was so uplifting to me - what loving and trusting someone can do for another person - but first you have to learn to love yourself!  A very powerful story with amazing characters.  Wow.  Thank you Ms. Hall.","04 26, 2013",A35YL8SQIKL0M8,Susan E. Anderson,A truly inspirational book,1366934400
B009LYM3ZQ,"[1, 1]",5,This is one of best books ever. All the way through I wondered what would happen next. And whaat did happen next against all odds. Very good reading.,"03 9, 2013",A26J799BB4Z7V8,Retha,Very good!,1362787200
B00JTJ2F2O,"[0, 0]",5,"I loved loved loved this book so much. I loved the whole series by this author.I must really love romance novels and where it has a lot of erotica reading in it. When all of a sudden your laying in bed reading it and you have to look around and see if your husband or boyfriend is looking at you. Because the look you have on your face is a really big smirk and your face is red from reading all the sexual innudendo. If you haven't read this series. You must start at number 1 and read all the way to the third one. Because in this book they mention characters that you read about in the first or second one. The third book is about Alana Gore.She is a publicist to the famous sports athletes and famous political people. Well one day Alana kept on getting death threats and she started to get really nervous about what could happen to her. So she decides to get a body guard to help protect her until she finds out who is sending her letters and leaving clues about wanting to get even with her or to kill her. She hires Chandler. He is a hot guy that owns his own bodyguard company. Well his brothers really don't care for her because of what she put them through. You will read that in the first and second book to this series. Well the tension between these two are so strong it's hard to cut it with a knife. You will be reading along and you can't believe what some of these characters have said because you only think it. You never say it outloud.So if you are looking for a series that you could finish in a week because they are a real page turner. This series you are thinking about at work, in the car or when your making dinner because you want to find out what happens between these two. So don't walk run and get this series and read it. You won't be disappointed.","05 24, 2014",APBF8YPKN9LFL,Yara Santos,OnceUponaTwilight.com,1400889600
B00EC197UC,"[0, 0]",4,"We never forget our first love.  When Emma runs into (literally), the man who haunted her heart, her life changes.  Her sexy older sister wants him.  She always gets any man she wants.  Not this time.  Both sister's learn that everything is not always the way it looks.","05 1, 2014",A2U8YWPP1PYHJM,ItsWindy,Now and Then,1398902400
